Program, Package , Core(s) , GPU , DRAM? , Time (sec), Peak Memory Usage (KB), PowerCap (uW)
exe/selectionSort.py 30000 , 408.828125 , 368.659058 , 0.983521 , 0.000000 ,  2.46628E+07, 2364, 30000000 
exe/selectionSort.py 30000 , 407.767761 , 367.581787 , 0.944580 , 0.000000 ,  2.46796E+07, 2364, 30000000 
exe/selectionSort.py 30000 , 406.485535 , 366.318848 , 0.978943 , 0.000000 ,  2.46331E+07, 2364, 30000000 
exe/selectionSort.py 30000 , 399.667114 , 358.286682 , 0.987244 , 0.000000 ,  2.50899E+07, 2364, 30000000 
exe/selectionSort.py 30000 , 382.875854 , 337.591492 , 1.532043 , 0.000000 ,  2.64227E+07, 2296, 30000000 
exe/selectionSort.py 30000 , 380.371521 , 335.911865 , 0.923584 , 0.000000 ,  2.63914E+07, 2364, 30000000 
exe/selectionSort.py 30000 , 379.235718 , 334.836914 , 0.988159 , 0.000000 ,  2.6338E+07, 2364, 30000000 
exe/selectionSort.py 30000 , 378.702271 , 334.249878 , 0.950684 , 0.000000 ,  2.63651E+07, 2364, 30000000 
exe/selectionSort.py 30000 , 376.026245 , 331.406799 , 0.964233 , 0.000000 ,  2.64819E+07, 2364, 30000000 
exe/selectionSort.py 30000 , 373.713989 , 329.442261 , 0.976501 , 0.000000 ,  2.62828E+07, 2364, 30000000 
exe/selectionSort.py 20000 , 417.261230 , 375.659668 , 1.763306 , 0.000000 ,  2.47135E+07, 2324, 30000000 
exe/selectionSort.py 20000 , 411.609253 , 371.235352 , 1.063049 , 0.000000 ,  2.45418E+07, 2392, 30000000 
exe/selectionSort.py 20000 , 410.499451 , 369.945496 , 1.037537 , 0.000000 ,  2.4684E+07, 2392, 30000000 
exe/selectionSort.py 20000 , 409.441833 , 369.256470 , 1.032654 , 0.000000 ,  2.44552E+07, 2392, 30000000 
exe/selectionSort.py 20000 , 402.174133 , 361.936707 , 1.000916 , 0.000000 ,  2.46706E+07, 2392, 30000000 
exe/selectionSort.py 20000 , 401.772583 , 361.793518 , 0.967468 , 0.000000 ,  2.46217E+07, 2392, 30000000 
exe/selectionSort.py 20000 , 401.332397 , 361.035095 , 1.002441 , 0.000000 ,  2.47097E+07, 2392, 30000000 
